Date,Industry,Value,Category,Measure,Unit
2021-01,accommodation-and-food-services,59.3505,jobs,100-equivalent-month-of-2019,index
2021-01,information-media-and-telecommunications,114.227,jobs,100-equivalent-month-of-2019,index
2021-01,rental-hiring-and-real-estate-services,91.3836,jobs,100-equivalent-month-of-2019,index
2021-01,professional-scientific-and-technical-services,104.16,jobs,100-equivalent-month-of-2019,index
2021-01,administrative-and-support-services,90.3227,jobs,100-equivalent-month-of-2019,index
2021-01,other-services,91.2005,jobs,100-equivalent-month-of-2019,index
2021-01,health-care-and-social-assistance,107.2866,jobs,100-equivalent-month-of-2019,index
2021-02,manufacturing,95.4624,jobs,100-equivalent-month-of-2019,index
2021-02,construction,93.7008,jobs,100-equivalent-month-of-2019,index
2021-02,retail-trade,97.3126,jobs,100-equivalent-month-of-2019,index
2021-02,accommodation-and-food-services,57.447,jobs,100-equivalent-month-of-2019,index
2021-02,information-media-and-telecommunications,114.0432,jobs,100-equivalent-month-of-2019,index
2021-02,rental-hiring-and-real-estate-services,88.6647,jobs,100-equivalent-month-of-2019,index
2021-02,professional-scientific-and-technical-services,101.985,jobs,100-equivalent-month-of-2019,index
2021-02,administrative-and-support-services,86.355,jobs,100-equivalent-month-of-2019,index
2021-02,other-services,87.4368,jobs,100-equivalent-month-of-2019,index
2021-02,health-care-and-social-assistance,104.5008,jobs,100-equivalent-month-of-2019,index
2021-03,manufacturing,93.2132,jobs,100-equivalent-month-of-2019,index
2021-03,construction,95.6468,jobs,100-equivalent-month-of-2019,index
2021-03,retail-trade,96.922,jobs,100-equivalent-month-of-2019,index
2021-03,accommodation-and-food-services,57.3118,jobs,100-equivalent-month-of-2019,index
2021-03,information-media-and-telecommunications,115.128,jobs,100-equivalent-month-of-2019,index
2021-03,rental-hiring-and-real-estate-services,87.7848,jobs,100-equivalent-month-of-2019,index
2021-03,professional-scientific-and-technical-services,100.9769,jobs,100-equivalent-month-of-2019,index
2021-03,administrative-and-support-services,85.6387,jobs,100-equivalent-month-of-2019,index
2021-03,other-services,85.467,jobs,100-equivalent-month-of-2019,index
2021-03,health-care-and-social-assistance,104.232,jobs,100-equivalent-month-of-2019,index
2021-04,manufacturing,96.2087,jobs,100-equivalent-month-of-2019,index
2021-04,construction,92.25,jobs,100-equivalent-month-of-2019,index
2021-04,retail-trade,96.2788,jobs,100-equivalent-month-of-2019,index
2021-04,accommodation-and-food-services,62.1665,jobs,100-equivalent-month-of-2019,index
2021-04,information-media-and-telecommunications,117.7183,jobs,100-equivalent-month-of-2019,index
2021-04,rental-hiring-and-real-estate-services,77.5552,jobs,100-equivalent-month-of-2019,index
2021-04,professional-scientific-and-technical-services,101.7,jobs,100-equivalent-month-of-2019,index
2021-04,administrative-and-support-services,84.3944,jobs,100-equivalent-month-of-2019,index
2021-04,other-services,87.087,jobs,100-equivalent-month-of-2019,index
2021-04,health-care-and-social-assistance,96.56,jobs,100-equivalent-month-of-2019,index
2021-05,manufacturing,95.195,jobs,100-equivalent-month-of-2019,index
2021-05,construction,93.4835,jobs,100-equivalent-month-of-2019,index
2021-05,retail-trade,101.6862,jobs,100-equivalent-month-of-2019,index
2021-05,accommodation-and-food-services,65.7558,jobs,100-equivalent-month-of-2019,index
2021-05,information-media-and-telecommunications,119.4138,jobs,100-equivalent-month-of-2019,index
2021-05,rental-hiring-and-real-estate-services,81.1296,jobs,100-equivalent-month-of-2019,index
2021-05,professional-scientific-and-technical-services,103.664,jobs,100-equivalent-month-of-2019,index
2021-05,administrative-and-support-services,99.532,jobs,100-equivalent-month-of-2019,index
2021-05,other-services,88.4493,jobs,100-equivalent-month-of-2019,index
2021-05,health-care-and-social-assistance,94.9299,jobs,100-equivalent-month-of-2019,index
2021-06,manufacturing,97.2111,jobs,100-equivalent-month-of-2019,index
2021-06,construction,94.464,jobs,100-equivalent-month-of-2019,index
2021-06,retail-trade,100.1634,jobs,100-equivalent-month-of-2019,index
2021-06,accommodation-and-food-services,76.1685,jobs,100-equivalent-month-of-2019,index
2021-06,information-media-and-telecommunications,115.44,jobs,100-equivalent-month-of-2019,index
2021-06,rental-hiring-and-real-estate-services,91.3031,jobs,100-equivalent-month-of-2019,index
2021-06,professional-scientific-and-technical-services,104.1645,jobs,100-equivalent-month-of-2019,index
2021-06,administrative-and-support-services,99.0964,jobs,100-equivalent-month-of-2019,index
2021-06,other-services,93.6126,jobs,100-equivalent-month-of-2019,index
2021-06,health-care-and-social-assistance,101.6379,jobs,100-equivalent-month-of-2019,index
2021-07,manufacturing,100.1561,jobs,100-equivalent-month-of-2019,index
2021-07,construction,99.2225,jobs,100-equivalent-month-of-2019,index
2021-07,retail-trade,101.3211,jobs,100-equivalent-month-of-2019,index
2021-07,accommodation-and-food-services,82.482,jobs,100-equivalent-month-of-2019,index
2021-07,information-media-and-telecommunications,122.8117,jobs,100-equivalent-month-of-2019,index
2021-07,rental-hiring-and-real-estate-services,93.6884,jobs,100-equivalent-month-of-2019,index
2021-07,professional-scientific-and-technical-services,105.8736,jobs,100-equivalent-month-of-2019,index
2021-07,administrative-and-support-services,104.6072,jobs,100-equivalent-month-of-2019,index
2021-07,other-services,96.4627,jobs,100-equivalent-month-of-2019,index
2021-07,health-care-and-social-assistance,105.708,jobs,100-equivalent-month-of-2019,index
2021-08,manufacturing,98.256,jobs,100-equivalent-month-of-2019,index
2021-08,construction,95.4492,jobs,100-equivalent-month-of-2019,index
2021-08,retail-trade,99.5644,jobs,100-equivalent-month-of-2019,index
2021-08,accommodation-and-food-services,83.142,jobs,100-equivalent-month-of-2019,index
2021-08,information-media-and-telecommunications,124.7502,jobs,100-equivalent-month-of-2019,index
2021-08,rental-hiring-and-real-estate-services,94.0016,jobs,100-equivalent-month-of-2019,index
2021-08,professional-scientific-and-technical-services,104.436,jobs,100-equivalent-month-of-2019,index
2021-08,administrative-and-support-services,95.2365,jobs,100-equivalent-month-of-2019,index
2021-08,other-services,97.428,jobs,100-equivalent-month-of-2019,index
2021-08,health-care-and-social-assistance,102.1554,jobs,100-equivalent-month-of-2019,index
2021-09,manufacturing,94.7392,jobs,100-equivalent-month-of-2019,index
2021-09,construction,96.7416,jobs,100-equivalent-month-of-2019,index
2021-09,retail-trade,100.0968,jobs,100-equivalent-month-of-2019,index
2021-09,accommodation-and-food-services,83.8457,jobs,100-equivalent-month-of-2019,index
2021-09,information-media-and-telecommunications,122.1735,jobs,100-equivalent-month-of-2019,index
2021-09,rental-hiring-and-real-estate-services,89.9079,jobs,100-equivalent-month-of-2019,index
2021-09,professional-scientific-and-technical-services,105.4872,jobs,100-equivalent-month-of-2019,index
2021-09,administrative-and-support-services,97.13,jobs,100-equivalent-month-of-2019,index
2021-09,other-services,94.6429,jobs,100-equivalent-month-of-2019,index
2021-09,health-care-and-social-assistance,97.4919,jobs,100-equivalent-month-of-2019,index
2021-10,manufacturing,98.119,jobs,100-equivalent-month-of-2019,index
2021-10,construction,98.3388,jobs,100-equivalent-month-of-2019,index
2021-10,retail-trade,103.9,jobs,100-equivalent-month-of-2019,index
2021-10,accommodation-and-food-services,85.2221,jobs,100-equivalent-month-of-2019,index
2021-10,information-media-and-telecommunications,124.5828,jobs,100-equivalent-month-of-2019,index
2021-10,rental-hiring-and-real-estate-services,91.5238,jobs,100-equivalent-month-of-2019,index
2021-10,professional-scientific-and-technical-services,105.0651,jobs,100-equivalent-month-of-2019,index
2021-10,administrative-and-support-services,98.1514,jobs,100-equivalent-month-of-2019,index
2021-10,other-services,93.392,jobs,100-equivalent-month-of-2019,index
2021-10,health-care-and-social-assistance,97.0347,jobs,100-equivalent-month-of-2019,index
2021-11,manufacturing,92.2185,jobs,100-equivalent-month-of-2019,index
2021-11,construction,94.1564,jobs,100-equivalent-month-of-2019,index
2021-11,retail-trade,101.5868,jobs,100-equivalent-month-of-2019,index
2021-11,accommodation-and-food-services,83.4379,jobs,100-equivalent-month-of-2019,index
2021-11,information-media-and-telecommunications,120.6519,jobs,100-equivalent-month-of-2019,index
2021-11,rental-hiring-and-real-estate-services,88.7205,jobs,100-equivalent-month-of-2019,index
2021-11,professional-scientific-and-technical-services,103.1888,jobs,100-equivalent-month-of-2019,index
2021-11,administrative-and-support-services,101.2944,jobs,100-equivalent-month-of-2019,index
2021-11,other-services,88.271,jobs,100-equivalent-month-of-2019,index
2021-11,health-care-and-social-assistance,97.9371,jobs,100-equivalent-month-of-2019,index
